2024-08-31 13:49:46,625 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:49:47,065 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:51:09,134 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:51:09,574 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:51:09,785 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:51:10,477 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:52:33,659 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:52:34,011 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:52:34,183 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:52:34,718 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:53:57,692 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:53:58,086 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:53:58,253 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:53:58,597 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:55:21,036 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:55:21,391 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:55:21,557 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:55:21,910 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:56:43,708 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:56:44,073 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:56:44,282 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:56:44,994 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:58:09,090 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
